,30.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,NOVEMBER,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,12.0,Return on Experience: Going Beyond ROI in College Decision-Making,"Universities, Counsellors",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,14.0,TOC East Hub,All,-,In-Person,Kolkata,Members,TBA,,,,,,,,,,,,,,,,
,18.0,Micro-Credentials & Stackable Degrees: Advising on non-traditional pathways and skills-based hiring trends,"Universities, Counsellors",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,26.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,DECEMBER,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,2.0,Careers in Sports Industry,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,5.0,Outreach Training Program -Part 1,Universities,18:00:00,Virtual,Zoom,Members & Non-Members,TBA,,,,,,,,,,,,,,,,
,9.0,How to apply to college as an athlete/ sports person?,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,12.0,Outreach Training Program -Part 2,Universities,18:00:00,Virtual,Zoom,Members & Non-Members,TBA,,,,,,,,,,,,,,,,
,JANUARY,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,7.0,"Counselor-Principal Partnerships: Building a ""Guidance-First"" school culture to reduce counselor burnout","School Counsellors, School Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,16.0,Fourth Weave,All,09:00 - 21:00,In Person,TBA,Members & Non-Members,TBA,,,,,,,,,,,,,,,,
,22.0,Careers In Diplomacy and International Relations,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,28.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,FEBRUARY,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,9.0,South Korea & Greater Bay Area University Admissions Session,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,12.0,F&B to Air BnB- careers in hospitatly in today's time,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,25.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
